id,title,alternative_title,year,pages,abstract,file_url,image_url,type,status
D100,Thực hành sửa chữa màn hình tinh thể lỏng /Vân Anh,,2009,659 tr. :Minh họa ;24 cm,"Nội dung tài liệu phân tích các vấn đề liên quan đến Thực hành sửa chữa màn hình tinh thể lỏng , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nghiên cứu góp phần cung cấp nền tảng kiến thức phục vụ cho việc học tập và phát triển chuyên môn.",/static/uploads/files/D100.pdf,/static/uploads/images/D100.jpg,Book,active
D101,Hóa sinh thực phẩm /Đàm Sao Mai (chủ biên) và nhóm tác giả,,2009,309 tr.,"Tài liệu tập trung nghiên cứu về Hóa sinh thực phẩm , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",/static/uploads/files/D101.pdf,/static/uploads/images/D101.jpg,Book,active
D102,"Giáo trình Quản lý chất lượng và luật thực phẩm /Lê Nguyên Đoan Huy, Nguyễn Công Hà",,2014,194 tr.,"Nội dung tài liệu phân tích các vấn đề liên quan đến Giáo trình Quản lý chất lượng và luật thực phẩm , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D102.pdf,/static/uploads/images/D102.jpg,Book,active
D103,Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng /Hồ Huy Tựu,,2026,222 tr,"Nội dung tài liệu phân tích các vấn đề liên quan đến Giáo trình giảng dạy bậc đại học: Hành vi người tiêu dùng - Định hướng ứng dụng , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",/static/uploads/files/D103.pdf,/static/uploads/images/D103.jpg,Book,active
D104,Miễn dịch học /Đại học Y Hà Nội,,2025,216 tr,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Miễn dịch học , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D104.pdf,/static/uploads/images/D104.jpg,Book,active
D105,Dinh dưỡng trong nuôi trồng thủy sản /Phạm Đức Hùng,,2024,775tr :Hình ảnh ;24cm,"Tài liệu cung cấp cái nhìn tổng quan về Dinh dưỡng trong nuôi trồng thủy sản , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D105.pdf,/static/uploads/images/D105.jpg,Book,active
D106,Phân tích tài chính doanh nghiệp /Võ Văn Cần,,2024,116tr :Bảng biểu ;21cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Phân tích tài chính doanh nghiệp , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nghiên cứu áp dụng các mô hình và phương pháp đánh giá phổ biến nhằm phân tích hiệu quả của các giải pháp được đề cập. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D106.pdf,/static/uploads/images/D106.jpg,Book,active
D107,Bài giảng Quản lý và khai thác cảng (Tài liệu lưu hành nội bộ) /Hồ Đức Tuấn,,2015,93 tr.,"Tài liệu tập trung nghiên cứu về Bài giảng Quản lý và khai thác cảng (Tài liệu lưu hành nội bộ) , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực trí tuệ nhân tạo. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nghiên cứu góp phần cung cấp nền tảng kiến thức phục vụ cho việc học tập và phát triển chuyên môn.",/static/uploads/files/D107.pdf,/static/uploads/images/D107.jpg,Book,active
D108,Cảng nội địa (Lưu hành nội bộ) /Bộ môn Khoa học Hàng hải,Inland Clearance Depot,2024,98 tr.,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Cảng nội địa (Lưu hành nội bộ) , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D108.pdf,/static/uploads/images/D108.jpg,Book,active
D109,Giám định hàng hải:Tài liệu tham khảo /Nguyễn Thái Vũ,,2019,346tr : ;24 cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Giám định hàng hải: Tài liệu tham khảo , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D109.pdf,/static/uploads/images/D109.jpg,Book,active
D110,Kế toán tài chính 3,,2025,258 tr.,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Kế toán tài chính 3, kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D110.pdf,/static/uploads/images/D110.jpg,Book,active
D111,Giới thiệu hệ thống báo cáo tài chính /Võ Văn Cần,,2024,116tr :Bảng biểu ;21cm,"Tài liệu cung cấp cái nhìn tổng quan về Giới thiệu hệ thống báo cáo tài chính , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D111.pdf,/static/uploads/images/D111.jpg,Book,active
D112,Bài giảng Thiết bị tàu thủy :Lưu hành nội bộ /Nguyễn Thái Vũ,,2018,148 tr.,"Nội dung tài liệu phân tích các vấn đề liên quan đến Bài giảng Thiết bị tàu thủy: Lưu hành nội bộ , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D112.pdf,/static/uploads/images/D112.jpg,Book,active
D113,Ươm giống và Trồng thương phẩm rong biển /Lê Anh Tuấn,,2024,43tr :Hình ảnh ;21cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Ươm giống và Trồng thương phẩm rong biển , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nội dung được xây dựng dựa trên việc hệ thống hóa kiến thức chuyên ngành kết hợp với các ví dụ minh họa thực tế. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D113.pdf,/static/uploads/images/D113.jpg,Book,active
D114,Kỹ thuật Sản xuất giống và trồng Rong biển :Bài giảng dành cho sinh viên các lớp Nuôi trồng thủy sản /Lê Anh Tuấn,,2024,317tr :Hình ảnh ;21cm,"Tài liệu cung cấp cái nhìn tổng quan về Kỹ thuật Sản xuất giống và trồng Rong biển: Bài giảng dành cho sinh viên các lớp Nuôi trồng thủy sản , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Nghiên cứu áp dụng các mô hình và phương pháp đánh giá phổ biến nhằm phân tích hiệu quả của các giải pháp được đề cập. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",/static/uploads/files/D114.pdf,/static/uploads/images/D114.jpg,Book,active
D115,Quy hoạch và Phát triển Thủy sản /Lê Anh Tuấn,,2024,210tr :Hình ảnh ;21cm,"Nội dung tài liệu phân tích các vấn đề liên quan đến Quy hoạch và Phát triển Thủy sản , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D115.pdf,/static/uploads/images/D115.jpg,Book,active
D116,Chuẩn mực báo cáo tài chính quốc tế,,2025,117 tr.,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Chuẩn mực báo cáo tài chính quốc tế, kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Nghiên cứu áp dụng các mô hình và phương pháp đánh giá phổ biến nhằm phân tích hiệu quả của các giải pháp được đề cập. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D116.pdf,/static/uploads/images/D116.jpg,Book,active
D117,Lập và phân tích báo cáo tài chính theo IFRS,,2025,120 tr.,"Tài liệu cung cấp cái nhìn tổng quan về Lập và phân tích báo cáo tài chính theo IFRS, bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Tài liệu có thể được sử dụng như nguồn tham khảo trong học tập, nghiên cứu và triển khai các hệ thống thực tế.",/static/uploads/files/D117.pdf,/static/uploads/images/D117.jpg,Book,active
D118,Kỹ thuật nuôi trồng thủy sản /Trần Văn Dũng,,2023,305tr :Hình ảnh ;21cm,"Tài liệu tập trung nghiên cứu về Kỹ thuật nuôi trồng thủy sản , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Nghiên cứu góp phần cung cấp nền tảng kiến thức phục vụ cho việc học tập và phát triển chuyên môn.",/static/uploads/files/D118.pdf,/static/uploads/images/D118.jpg,Book,active
D119,Kiểm tra vật liệu và NDT /Huỳnh Văn Vũ,,2024,40 tr. :24 cm,"Nội dung tài liệu phân tích các vấn đề liên quan đến Kiểm tra vật liệu và NDT , đồng thời đề xuất các hướng ứng dụng trong lĩnh vực nghiên cứu chuyên ngành. Nghiên cứu áp dụng các mô hình và phương pháp đánh giá phổ biến nhằm phân tích hiệu quả của các giải pháp được đề cập. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D119.pdf,/static/uploads/images/D119.jpg,Book,active
D120,Phương pháp nghiên cứu khoa học /Huỳnh Văn Vũ,,2024,271 tr.,"Tài liệu tập trung nghiên cứu về Phương pháp nghiên cứu khoa học , trình bày các cơ sở lý thuyết và phương pháp tiếp cận trong lĩnh vực lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",/static/uploads/files/D120.pdf,/static/uploads/images/D120.jpg,Book,active
D121,Kỹ thuật Hàn tàu thủy. Phần 2 /Huỳnh Văn Vũ,,2009,100 tr. :24 cm,"Tài liệu cung cấp cái nhìn tổng quan về Kỹ thuật Hàn tàu thủy. Phần 2 , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu kết hợp giữa cơ sở học thuật và các tình huống ứng dụng nhằm nâng cao khả năng tiếp cận và triển khai thực tế. Kết quả của tài liệu có giá trị tham khảo đối với sinh viên, giảng viên và các nhà nghiên cứu trong lĩnh vực liên quan.",/static/uploads/files/D121.pdf,/static/uploads/images/D121.jpg,Book,active
D122,Quy hoạch và quản lý nuôi trồng thủy sản /Lê Anh Tuấn,,2024,193tr :Hình ảnh ;21cm,"Nghiên cứu này trình bày các khía cạnh chuyên môn của Quy hoạch và quản lý nuôi trồng thủy sản , kết hợp giữa nền tảng lý thuyết và ứng dụng thực tiễn trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D122.pdf,/static/uploads/images/D122.jpg,Book,active
D123,"Tổng hợp văn bản pháp luật năm 2023 :Học phần Luật kinh doanh /Hoàng Thu Thuỷ, Nguyễn Thị Hà Trang",,2023,482tr ;21cm,"Tài liệu cung cấp cái nhìn tổng quan về Tổng hợp văn bản pháp luật năm 2023: Học phần Luật kinh doanh , bao gồm các mô hình, kỹ thuật và xu hướng phát triển trong lĩnh vực nghiên cứu chuyên ngành. Tài liệu sử dụng phương pháp phân tích và tổng hợp tài liệu nhằm làm rõ các khái niệm, nguyên lý và kỹ thuật liên quan. Nội dung tài liệu hỗ trợ người đọc tiếp cận các xu hướng nghiên cứu và ứng dụng hiện đại trong môi trường học thuật.",/static/uploads/files/D123.pdf,/static/uploads/images/D123.jpg,Book,active
